['977', 'Con Conducting Studio2121', 'C41.2121']
['1295', 'Con Early Mus Studio 1043', 'C41.1043']
['1175', 'Con Ensemble Rm 1100 Jazz', 'C41.1100']
['907', 'Con Ensemble Room 1084', 'C41.1084']
['908', 'Con Ensemble Room 1085', 'C41.1085']
['910', 'Con Ensemble Room 2169', 'C41.2169']
['911', 'Con Ensemble Room 3003', 'C41.3003']
['912', 'Con Ensemble Room 3022', 'C41.3022']
['913', 'Con Ensemble Room 3026', 'C41.3026']
['914', 'Con Ensemble Room 3047', 'C41.3047']
['976', 'Con Ensemble Studio 1157', 'C41.1157']
['975', 'Con Ensemble Studio 1159', 'C41.1159']
['974', 'Con Ensemble Studio 1160', 'C41.1160']
['973', 'Con Ensemble Studio 1161', 'C41.1161']
['972', 'Con Ensemble Studio 1164', 'C41.1164']
['1292', 'Con Green Rm 1065', 'C41.1065']
['985', 'Con LT 1052 Mus Workshop', 'C41.1052']
['983', 'Con LT 1063 Recital West', 'C41.1063']
['984', 'Con LT 1067 Recital East', 'C41.1067']
['986', 'Con LT 1126 JPA', 'C41.1126']
['982', 'Con LT 3002 (Verbrugghen)', 'C41.3002']
['1053', 'Con Music Cafe', 'C41.2210']
['1025', 'Con Music Studio 1033', 'C41.1033']
['1021', 'Con Music Studio 1034', 'C41.1034']
['1434', 'Con Music Studio 1080', 'C41.1080']
['1019', 'Con Music Studio 1083', 'C41.1083']
['1436', 'Con Music Studio 1089', 'C41.1089']
['1438', 'Con Music Studio 1091', 'C41.1091']
['1440', 'Con Music Studio 1093', 'C41.1093']
['1442', 'Con Music Studio 1095', 'C41.1095']
['1454', 'Con Music Studio 1153', 'C41.1153']
['930', 'Con Music Studio 2067', 'C41.2067']
['980', 'Con Music Studio 2068', 'C41.2068']
['929', 'Con Music Studio 2069', 'C41.2069']
['953', 'Con Music Studio 2088', 'C41.2088']
['952', 'Con Music Studio 2089', 'C41.2089']
['951', 'Con Music Studio 2090', 'C41.2090']
['950', 'Con Music Studio 2091', 'C41.2091']
['949', 'Con Music Studio 2092', 'C41.2092']
['948', 'Con Music Studio 2093', 'C41.2093']
['947', 'Con Music Studio 2094', 'C41.2094']
['946', 'Con Music Studio 2095', 'C41.2095']
['945', 'Con Music Studio 2101', 'C41.2101']
['938', 'Con Music Studio 2110', 'C41.2110']
['936', 'Con Music Studio 2161', 'C41.2161']
['935', 'Con Music Studio 2162', 'C41.2162']
['971', 'Con Music Studio 4003', 'C41.4003']
['970', 'Con Music Studio 4006', 'C41.4007']
['969', 'Con Music Studio 4011', 'C41.4011']
['968', 'Con Music Studio 4015', 'C41.4015']
['1746', 'Con Music Studio 4017', 'C41.4017']
['967', 'Con Music Studio 4044', 'C41.4044']
['966', 'Con Music Studio 4046', 'C41.4046']
['965', 'Con Music Studio 4047', 'C41.4047']
['964', 'Con Music Studio 4048', 'C41.4048']
['705', 'Conrad  Hotel', 'CIHHK']
['1027', 'Con Recording Stu 1021-22', 'C41.1021']
['1042', 'Con Recording Studio 1025', 'C41.1025']
['1433', 'Con Room 1079', 'C41.1079']
['1449', 'Con Room 1110', 'C41.1110']
['1450', 'Con Room 1111', 'C41.1111']
['1451', 'Con Room 1147', 'C41.1147']
['1452', 'Con Room 1148', 'C41.1148']
['1388', 'Con Room 1149', 'C41.1149']
['1389', 'Con Room 1150', 'C41.1150']
['1453', 'Con Room 1152', 'C41.1152']
['1828', 'Con Room 1156', 'C41.1156']
['1491', 'Con Room 3102', 'C41.3102']
['915', 'Con Seminar Room 1044', 'C41.1044']
['916', 'Con Seminar Room 1045', 'C41.1045']
['917', 'Con Seminar Room 1046', 'C41.1046']
['918', 'Con Seminar Room 1099', 'C41.1099']
['919', 'Con Seminar Room 1109', 'C41.1109']
['920', 'Con Seminar Room 1154', 'C41.1154']
['921', 'Con Seminar Room 2003', 'C41.2003']
['922', 'Con Seminar Room 2004', 'C41.2004']
['923', 'Con Seminar Room 2005', 'C41.2005']
['924', 'Con Seminar Room 2158', 'C41.2158']
['925', 'Con Seminar Room 2164', 'C41.2164']
['926', 'Con Seminar Room 2165', 'C41.2165']
['927', 'Con Seminar Room 2166', 'C41.2166']
['928', 'Con Seminar Room 2174', 'C41.2174']
['1938', 'Con Seminar Room 4026', 'C41.4026']
['963', 'Con Strings Studio 2087', 'C41.2087']
['962', 'Con Strings Studio 2111', 'C41.2111']
['961', 'Con Strings Studio 2112', 'C41.2112']
['960', 'Con Strings Studio 2114', 'C41.2114']
['959', 'Con Strings Studio 2115', 'C41.2115']
['958', 'Con Strings Studio 2116', 'C41.2116']
['957', 'Con Strings Studio 2117', 'C41.2117']
['956', 'Con Strings Studio 2118', 'C41.2118']
['955', 'Con Strings Studio 2119', 'C41.2119']
['954', 'Con Strings Studio 2122', 'C41.2122']
['978', 'Con Studio Room 2075', 'C41.2075']
['979', 'Con Studio Room 2103', 'C41.2103']
['934', 'Con Studio Room 2105', 'C41.2105']
['933', 'Con Studio Room 2107', 'C41.2107']
['932', 'Con Studio Room 2108', 'C41.2108']
['931', 'Con Studio Room 2109', 'C41.2109']
['981', 'Con Studio Room 2155', 'C41.2155']
['717', 'Consult department', 'CON']
['1026', 'Con Technology Room 1015', 'C41.1015']
['1033', 'Con Technology Room 1016', 'C41.1016']
['1028', 'Con Technology Room 1017', 'C41.1017']
['1032', 'Con Technology Room 1024', 'C41.1024']
['1029', 'Con Technology Room 2187', 'C41.2187']
['944', 'Con Woodwind Studio 1163', 'C41.1163']
['943', 'Con Woodwind Studio 1165', 'C41.1165']
['942', 'Con Woodwind Studio 1166', 'C41.1166']
['941', 'Con Woodwind Studio 1167', 'C41.1167']
['940', 'Con Woodwind Studio 1168', 'C41.1168']
['939', 'Con Woodwind Studio 1169', 'C41.1169']
['1410', 'Coppleson Institute 204A', 'D02.204A']
['1341', 'Coppleson Institute 307', 'D02.307']
['1690', 'CPC Dry Lab 1.1 (LS)', 'D17.1500']
